timestamp,key,size
1776580779637,dockets/14942604/,1767
1776580780898,opinions/4614227/,115
1776580782065,clusters/1719584/,1691
1776580783360,courts/ilnd/,689
1776580784607,dockets/56629389/,1793
1776580785812,opinions/1571946/,130
1776580787231,clusters/445200/,1462
1776580788588,courts/ilnd/,689
1776580789857,dockets/60291818/,1836
1776580792630,clusters/2678639/,3461
1776580794070,courts/ca10/,618
1776580795332,dockets/28898924/,1853
1776580796980,opinions/5647120/,107
1776580798651,clusters/6022675/,2195
1776580800122,courts/caed/,770
1776580801468,dockets/5831820/,1833
1776580803090,opinions/8996415/,104
1776580804600,clusters/1322048/,3470
1776580806298,courts/caed/,770
1776580807591,dockets/48537832/,1777
1776580810130,clusters/4855125/,1724
1776580812309,courts/ca7/,609
1776580813793,dockets/51019679/,1745
1776580815037,opinions/10665016/,6644
1776580816281,clusters/5960454/,1834
1776580817525,courts/ca8/,607
1776580818739,dockets/9583483/,2834
1776580820077,opinions/2871231/,111
1776580821132,clusters/7755440/,1846
1776580822413,courts/ilnd/,689
1776580823438,dockets/43524492/,1898
1776580825998,clusters/5292424/,1461
1776580827331,courts/ca2/,621
1776580830078,opinions/5279419/,113
1776580833104,clusters/10785265/,1292
1776580834383,courts/ca8/,607
1776580838325,clusters/6700829/,6314
1776580839417,courts/ca4/,633
1776580841212,dockets/12201655/,2904
1776580845211,courts/ca2/,621
1776580848000,opinions/8877066/,99
1776580850500,courts/ca3/,605
1776580851831,dockets/72070938/,1677
1776580854216,clusters/7294151/,1566
1776580855394,courts/scotus/,600
1776580856835,dockets/35351480/,1737
1776580859680,clusters/10490797/,13993
1776580861151,courts/txnd/,694
1776580862637,dockets/20513740/,1821
1776580863837,opinions/2710344/,131
1776580865264,clusters/8897859/,4391
1776580866759,courts/caed/,770
1776580868038,dockets/2614125/,1703
1776580869193,opinions/6089807/,2588
1776580870715,clusters/5159231/,1451
1776580872016,courts/ca7/,609
1776580873501,dockets/10570593/,2943
1776580874635,opinions/8153567/,1114
1776580876089,clusters/8937327/,1696
1776580877551,courts/ca4/,633
1776580880276,opinions/8852898/,29295
1776580881607,clusters/3553385/,27303
1776580883153,courts/ca6/,629
1776580884374,dockets/53551840/,1841
1776580887035,clusters/7574681/,2035
1776580888050,courts/ca7/,609
1776580889150,dockets/2823171/,1659
1776580890583,opinions/3860685/,101
1776580893058,courts/ca7/,609
1776580894270,dockets/4216176/,1888
1776580895818,opinions/1188790/,119
1776580896864,clusters/8143904/,1523
1776580898045,courts/ca4/,633
1776580900924,opinions/4076818/,117
1776580902193,clusters/3194549/,1332
1776580903293,courts/cafc/,637
1776580904376,dockets/55177214/,1837
1776580906998,clusters/10841098/,1708
1776580908209,courts/cadc/,632
1776580909587,dockets/14665842/,2962
1776580910828,opinions/3191176/,120
1776580911962,clusters/3078419/,1341
1776580913300,courts/ca7/,609
1776580914586,dockets/10117989/,2892
1776580918613,courts/scotus/,600
1776580919942,dockets/31726319/,1747
1776580921111,opinions/8147707/,116
1776580923903,courts/scotus/,600
1776580925460,dockets/35594952/,1841
1776580928203,clusters/9324246/,1589
1776580929631,courts/cand/,671
1776580930861,dockets/39823451/,1827
1776580933387,clusters/5261416/,2099
1776580934370,courts/cacd/,672
1776580935701,dockets/71286544/,1653
1776580936901,opinions/8519949/,108
1776580938143,clusters/9983033/,1291
1776580939328,courts/ca7/,609
1776580941770,opinions/9974377/,99
1776580944099,courts/txnd/,694
1776580945164,dockets/34999380/,1821
1776580947594,clusters/2195774/,3331
1776580948991,courts/ca9/,605
1776580950136,dockets/9736573/,2989
1776580951388,opinions/10421323/,40763
1776580953008,clusters/1229111/,2533
1776580954363,courts/txnd/,694
1776580955583,dockets/46843173/,1817
1776580958263,clusters/7351518/,2315
1776580959595,courts/ca9/,605
1776580960945,dockets/70993219/,1655
1776580974587,clusters/1737894/,2990
1776580976129,courts/ca4/,633
1776580977398,dockets/14366126/,3065
1776580978915,opinions/2607984/,104
1776580980264,clusters/5752577/,2010
1776580981466,courts/ca8/,607
1776580982816,dockets/33704924/,1864
1776580985633,clusters/4641924/,1306
1776580986832,courts/ca10/,618
1776580988075,dockets/35159041/,1710
1776580989223,opinions/7412770/,100
1776580990466,clusters/162231/,2374
1776580991469,courts/ca4/,633
1776580992631,dockets/49555331/,1852
1776580994112,opinions/2484602/,103
1776580995081,clusters/6117838/,1841
1776580996591,courts/ca1/,605
1776580998016,dockets/28195996/,1817
1776580999391,opinions/11189286/,113
1776581000648,clusters/6817882/,1793
1776581002115,courts/ca4/,633
1776581003567,dockets/31774347/,1741
1776581006466,clusters/415847/,1646
1776581007483,courts/ca10/,618
1776581008936,dockets/55259206/,1751
1776581011589,clusters/2670897/,3132
1776581012855,courts/ca3/,605
1776581014099,dockets/5197529/,3031
1776581015624,opinions/3731819/,132
1776581017081,clusters/5866295/,1890
1776581018374,courts/ca7/,609
1776581019566,dockets/25921442/,1822
1776581020960,opinions/4674184/,121760
1776581022616,clusters/4682941/,1330
1776581023922,courts/txnd/,694
1776581025143,dockets/71969658/,1764
1776581026474,opinions/463061/,107
1776581027956,clusters/2995871/,3980
1776581029441,courts/ca8/,607
1776581030435,dockets/58326161/,1723
1776581033033,clusters/8580256/,1926
1776581034249,courts/cacd/,672
1776581035424,dockets/5957460/,1748
1776581036794,opinions/28375/,98
1776581039424,courts/ca6/,629
1776581040715,dockets/9391726/,2929
1776581042286,opinions/5539838/,105
1776581044013,clusters/2090866/,3015
1776581045367,courts/ca9/,605
1776581046713,dockets/54813569/,1864
1776581049022,clusters/7053919/,2603
1776581050731,courts/cadc/,632
1776581052109,dockets/23357555/,1730
1776581053516,opinions/5049102/,103
1776581054931,clusters/5098176/,1801
1776581056250,courts/cafc/,637
1776581057682,dockets/43251560/,1749
1776581058957,opinions/7418211/,112
1776581062279,clusters/2846950/,1259
1776581064696,courts/ca9/,605
1776581066072,dockets/44988207/,1814
1776581069618,clusters/3340846/,1702
1776581070641,courts/ca1/,605
1776581073540,dockets/63771721/,1666
1776581076474,clusters/10565710/,23819
1776581078244,courts/cadc/,632
1776581079391,dockets/32747038/,1856
1776581081833,clusters/1788239/,2658
1776581083116,courts/ca7/,609
1776581084119,dockets/69519113/,1875
1776581085265,opinions/9351718/,133
1776581086685,clusters/7658159/,1802
1776581087932,courts/nysd/,917
1776581092016,clusters/8468773/,2036
1776581093376,courts/ilnd/,689
1776581094510,dockets/21361813/,1839
1776581095891,opinions/7963716/,99
1776581097705,clusters/10698184/,1558
1776581098771,courts/txnd/,694
1776581100035,dockets/32111037/,1825
1776581101305,opinions/1299955/,111
1776581102516,clusters/5634587/,1953
1776581103985,courts/ilnd/,689
1776581105220,dockets/20244149/,1757
1776581107489,clusters/6960329/,2280
1776581109343,courts/ilnd/,689
1776581110699,dockets/8357163/,1757
1776581111930,opinions/7048839/,114
1776581114152,courts/cacd/,672
1776581115476,dockets/791359/,1668
1776581116946,opinions/5009889/,97
1776581118368,clusters/7030011/,4187
1776581119741,courts/ilnd/,689
1776581121175,dockets/29600203/,1786
1776581122483,opinions/4579095/,118
1776581123630,clusters/5639318/,2216
1776581125017,courts/cadc/,632
1776581127674,opinions/10439740/,106
1776581129099,clusters/9930313/,1357
1776581130499,courts/scotus/,600
1776581131641,dockets/57527433/,1900
1776581132653,opinions/7746015/,100
1776581133703,clusters/5492067/,1925
1776581134969,courts/ca10/,618
1776581136041,dockets/50885460/,1775
1776581138798,clusters/7890440/,1911
1776581139888,courts/ilnd/,689
1776581140971,dockets/46970883/,1870
1776581142550,opinions/1151226/,104
1776581143758,clusters/520597/,2753
1776581145300,courts/ca6/,629
1776581146570,dockets/20452413/,1695
1776581147627,opinions/7945037/,99
1776581150430,courts/ca8/,607
1776581151730,dockets/22520278/,1753
1776581154549,clusters/2747535/,3004
1776581156057,courts/ca3/,605
1776581157418,dockets/41870193/,1840
1776581158617,opinions/6296606/,115
1776581160053,clusters/1275010/,2466
1776581161438,courts/ca7/,609
1776581162674,dockets/40477743/,1902
1776581164202,opinions/10073236/,13838
1776581165666,clusters/9494773/,1902
1776581167147,courts/ca11/,624
1776581168287,dockets/49737182/,1769
1776581170788,clusters/8224220/,2772
1776581171786,courts/ca11/,624
1776581173126,dockets/61705171/,1863
1776581174508,opinions/7306262/,123
1776581176839,courts/ilnd/,689
1776581178220,dockets/62394302/,1666
1776581180434,clusters/4118726/,4537
1776581181895,courts/ca2/,621
1776581183124,dockets/60505621/,1866
1776581184336,opinions/7796515/,117
1776581185738,clusters/5643799/,2232
1776581187325,courts/ca10/,618
1776581188511,dockets/28470245/,1856
1776581189811,opinions/4334435/,108
1776581192781,courts/ilnd/,689
1776581193733,dockets/25643160/,1789
1776581196035,clusters/4031967/,1282
