timestamp,key,size
1775967571591,amendment/119/samdt/1004,1665
1775967573251,bill/114/s/4838,225
1775967574490,bill/119/sjres/3812,229
1775967575728,bill/119/sjres/8929,229
1775967576978,bill/119/hconres/107,230
1775967578216,amendment/119/samdt/1394,1637
1775967579510,bill/119/sconres/1675,231
1775967580770,bill/119/sconres/4334,231
1775967582007,amendment/110/hamdt/1551,244
1775967583612,bill/119/sconres/3151,231
1775967584861,amendment/119/hamdt/1186,244
1775967586173,roll-call-vote/104/senate/2/465,68
1775967587395,amendment/119/samdt/1456,1630
1775967588685,bill/119/s/2804,2224
1775967589795,bill/119/sres/6217,228
1775967591025,bill/115/sjres/2657,229
1775967592245,amendment/100/hamdt/1293,244
1775967593492,bill/119/sconres/3484,231
1775967594739,amendment/119/samdt/586,1660
1775967596040,bill/119/hconres/7020,231
1775967597270,roll-call-vote/119/house/1/522,67
1775967598471,bill/96/hjres/1311,228
1775967599694,amendment/119/hamdt/1577,244
1775967600932,bill/109/hconres/4533,231
1775967602169,roll-call-vote/119/house/2/657,67
1775967603399,bill/119/hjres/7434,229
1775967604647,bill/116/hconres/4101,231
1775967605891,amendment/119/hamdt/2562,244
1775967607116,bill/112/sjres/1253,229
1775967608366,bill/119/hr/5311,2460
1775967609481,bill/119/sconres/5039,231
1775967610800,bill/119/s/1404,2353
1775967611920,amendment/117/hamdt/526,243
1775967613161,amendment/98/samdt/2162,1836
1775967614475,roll-call-vote/119/house/1/320,67
1775967615698,bill/104/sres/4240,228
1775967616925,bill/119/s/5540,225
1775967618165,bill/119/sjres/118,2580
1775967619278,bill/100/s/258,2050
1775967620606,roll-call-vote/119/house/2/686,67
1775967621835,bill/119/sres/3982,228
1775967623070,amendment/99/hamdt/398,1988
1775967624370,amendment/119/samdt/1913,1678
1775967625679,roll-call-vote/119/house/1/413,67
1775967626887,amendment/96/hamdt/785,242
1775967628137,bill/119/hres/3007,228
1775967629374,bill/119/s/7261,225
1775967630616,amendment/96/hamdt/2672,243
1775967631866,roll-call-vote/103/house/1/417,67
1775967633096,bill/119/hres/961,2486
1775967634610,bill/119/hres/4346,228
1775967635840,roll-call-vote/110/senate/2/159,68
1775967637063,bill/119/hr/8884,226
1775967638289,bill/119/hr/7812,2694
1775967639395,bill/98/hr/4161,2276
1775967640683,bill/119/s/3854,2277
1775967641795,bill/111/sjres/4743,229
1775967643051,bill/106/sconres/2137,231
1775967644297,bill/100/hconres/3243,231
1775967645554,bill/107/sconres/595,230
1775967646795,bill/111/s/601,3529
1775967648095,bill/119/hjres/5719,229
1775967649329,roll-call-vote/112/senate/1/449,68
1775967650529,amendment/112/hamdt/2736,244
1775967651758,amendment/119/hamdt/551,243
1775967652987,bill/116/hjres/2232,229
1775967654237,bill/119/sconres/3336,231
1775967655468,amendment/109/samdt/1029,2302
1775967656932,roll-call-vote/103/senate/2/46,67
1775967658154,bill/113/hconres/1324,231
1775967659405,amendment/119/samdt/2298,1463
1775967660719,bill/119/hjres/8939,229
1775967661937,bill/119/hjres/7042,229
1775967663154,bill/119/hr/5863,2456
1775967664267,bill/119/s/5795,225
1775967665506,amendment/106/hamdt/970,2179
1775967666873,roll-call-vote/106/senate/1/184,68
1775967668104,amendment/119/samdt/2744,2041
1775967669399,roll-call-vote/109/house/1/392,67
1775967670618,roll-call-vote/108/house/2/359,67
1775967671822,bill/100/sjres/194,2531
1775967673120,amendment/119/samdt/285,1694
1775967674407,roll-call-vote/119/senate/2/29,67
1775967675628,bill/98/hconres/314,2401
1775967676937,bill/119/sconres/7150,231
1775967678162,amendment/119/samdt/2362,1764
1775967679563,bill/119/hres/28,2398
1775967680870,bill/114/sjres/2984,229
1775967682109,bill/103/sconres/1021,231
1775967683340,amendment/119/samdt/2732,1845
1775967684886,bill/119/hconres/2086,231
1775967686116,bill/105/hjres/4663,229
1775967687367,bill/119/hr/4979,2649
1775967688479,bill/119/sconres/7619,231
1775967689736,bill/109/sres/1391,228
1775967690965,amendment/119/samdt/383,1680
1775967692250,amendment/114/samdt/921,1899
1775967693543,amendment/119/hamdt/1003,244
1775967694791,roll-call-vote/103/senate/2/645,68
1775967696011,bill/105/sres/3274,228
1775967697243,bill/93/s/3483,2038
1775967698606,bill/115/sres/412,2315
1775967699940,bill/96/sres/1093,227
1775967701184,amendment/110/samdt/1813,1525
1775967702602,amendment/109/samdt/2245,2108
1775967703990,bill/119/sres/7374,228
1775967705229,bill/119/hconres/8541,231
1775967706467,bill/119/sres/1270,228
1775967707705,amendment/119/samdt/1310,3705
1775967709157,roll-call-vote/119/house/1/393,67
1775967710363,amendment/95/samdt/1670,243
1775967711596,bill/119/hr/3389,2663
1775967712924,amendment/119/hamdt/2359,244
1775967714173,bill/119/sconres/4893,231
1775967715424,amendment/119/samdt/2205,1944
1775967716721,amendment/119/hamdt/2000,244
1775968131697,bill/119/hr/6372,3332
1775968132818,bill/105/hjres/3829,229
1775968134059,roll-call-vote/118/house/2/607,67
1775968135273,bill/119/hres/2224,228
1775968136504,roll-call-vote/119/senate/2/336,68
1775968137730,bill/119/hres/4559,228
1775968138959,amendment/101/hamdt/1927,244
1775968140201,bill/119/sconres/3674,231
1775968141449,amendment/113/hamdt/128,2055
1775968142817,roll-call-vote/119/house/1/245,67
1775968144032,bill/111/sjres/3810,229
1775968145269,amendment/98/hamdt/671,1855
1775968146576,roll-call-vote/119/house/2/590,67
1775968147802,amendment/105/hamdt/312,2481
1775968149110,bill/100/s/2471,2428
1775968150436,roll-call-vote/104/house/2/546,67
1775968151686,bill/119/sconres/208,230
1775968152931,amendment/96/samdt/1484,243
1775968154197,amendment/115/hamdt/1784,244
1775968155542,bill/119/hconres/8818,231
1775968156795,amendment/119/samdt/1321,1854
1775968158087,roll-call-vote/103/senate/2/250,68
1775968159320,amendment/119/samdt/1378,1637
1775968160626,bill/98/sres/1738,227
1775968161872,bill/119/hconres/4527,231
1775968163111,bill/119/sjres/1403,229
1775968164351,bill/119/sjres/7801,229
1775968165582,amendment/119/hamdt/382,243
1775968166818,bill/119/sjres/5017,229
1775968168067,amendment/119/samdt/1743,1626
1775968169378,roll-call-vote/119/senate/2/278,68
1775968170579,bill/119/sjres/5170,229
1775968171796,bill/119/hjres/3139,229
1775968173042,bill/119/hconres/1648,231
1775968174292,amendment/119/samdt/735,1911
1775968175604,bill/97/hconres/373,2113
1775968176911,roll-call-vote/119/house/2/106,67
1775968178121,roll-call-vote/119/senate/2/452,68
1775968179345,bill/101/sres/935,227
1775968180591,amendment/119/hamdt/2364,244
1775968181838,amendment/119/hamdt/2306,244
1775968183085,roll-call-vote/119/house/1/572,67
1775968184292,amendment/118/hamdt/2141,244
1775968185551,bill/102/hres/2502,228
1775968186785,bill/119/s/3405,2263
1775968187899,amendment/119/hamdt/644,243
1775968189136,bill/119/hjres/44,2887
1775968190256,bill/108/hconres/268,3094
1775968191559,bill/115/sres/584,2554
1775968192859,amendment/118/hamdt/1742,244
1775968194090,bill/119/hjres/4353,229
1775968195333,amendment/119/hamdt/1260,244
1775968196579,bill/102/sres/1019,228
1775968197810,bill/119/hres/4461,228
1775968199051,bill/119/s/654,3175
1775968200163,roll-call-vote/109/house/1/235,67
1775968201367,roll-call-vote/119/house/2/591,67
1775968202599,bill/108/sres/2279,228
1775968203847,bill/119/sres/1495,228
1775968205105,bill/119/sconres/1714,231
1775968206339,roll-call-vote/119/senate/2/679,68
1775968207551,roll-call-vote/118/house/2/91,66
1775968208782,bill/119/hres/8432,228
1775968210038,amendment/119/samdt/1693,3526
1775968211429,bill/119/sres/7243,228
1775968212680,amendment/119/hamdt/1180,244
1775968213920,bill/96/hr/4988,2551
1775968215218,amendment/102/hamdt/2263,244
1775968216468,bill/119/s/7561,225
1775968217714,roll-call-vote/105/senate/2/522,68
1775968218937,amendment/119/samdt/1935,1634
1775968220233,bill/119/hres/3123,228
1775968221484,roll-call-vote/119/house/1/283,67
1775968222718,amendment/103/samdt/11,2517
1775968224129,bill/119/sres/2435,228
1775968225356,bill/119/sconres/8904,231
1775968226604,bill/99/sjres/4685,228
1775968227861,bill/106/hr/2607,3129
1775968229247,amendment/118/samdt/1582,2749
1775968230555,roll-call-vote/105/senate/1/130,68
1775968231772,bill/119/s/7214,225
1775968233021,bill/93/hjres/3359,228
1775968234267,roll-call-vote/103/senate/2/347,68
1775968235594,amendment/119/hamdt/1346,244
1775968236829,roll-call-vote/113/senate/2/555,68
1775968238042,bill/119/hconres/3728,231
1775968239284,amendment/119/hamdt/2596,244
1775968240537,amendment/119/hamdt/2843,244
1775968241784,bill/119/sconres/920,230
1775968243009,bill/119/hjres/4001,229
1775968244253,bill/119/hjres/2786,229
1775968245495,bill/105/sjres/4077,229
1775968246734,roll-call-vote/119/senate/2/471,68
1775968247951,bill/119/sres/4713,228
1775968249190,amendment/119/samdt/1416,1628
1775968250552,roll-call-vote/119/senate/2/468,68
1775968251768,amendment/119/samdt/1980,1631
1775968253118,bill/119/sconres/4848,231
1775968254338,roll-call-vote/119/senate/2/9,66
1775968255555,bill/116/hr/4968,3416
1775968256901,amendment/102/hamdt/2487,244
1775968258135,amendment/119/hamdt/2544,244
1775968259378,bill/117/hjres/796,228
1775968260626,roll-call-vote/110/senate/1/594,68
1775968261831,bill/119/hconres/5353,231
1775968263075,amendment/119/hamdt/2210,244
1775968264326,roll-call-vote/119/senate/1/264,68
1775968265546,roll-call-vote/110/senate/1/480,68
1775968266768,roll-call-vote/119/house/2/571,67
1775968268002,bill/93/hconres/4396,230
1775968269235,bill/119/hconres/6243,231
1775968270485,amendment/96/hamdt/1932,243
1775968271735,bill/110/sconres/4998,231
1775968272957,bill/119/sres/4952,228
1775968274196,amendment/119/hamdt/153,1542
1775968275314,bill/119/s/3847,2387
1775968276440,roll-call-vote/119/senate/2/687,68
1775968277676,roll-call-vote/118/senate/1/425,68
1775968278889,amendment/112/samdt/1146,2371
1775968280453,bill/119/sres/7286,228
1775968281755,roll-call-vote/104/senate/2/63,67
1775968282974,bill/119/s/7451,225
1775968284211,bill/119/hr/829,3098
1775968285326,amendment/119/hamdt/2313,244
1775968286563,bill/110/sjres/4804,229
1775968287801,bill/103/hjres/4883,229
1775968289371,bill/97/hjres/4426,228
1775968290618,bill/119/hr/2160,2978
1775968292026,bill/100/sconres/130,2082
1775968293451,bill/119/hres/8620,228
1775968294702,bill/119/sres/5932,228
1775968295931,bill/119/sjres/711,228
1775968297179,amendment/114/samdt/1877,1860
1775968298579,amendment/119/samdt/1646,3351
1775968300006,bill/119/sres/1205,228
1775968301248,roll-call-vote/119/house/1/130,67
1775968302471,bill/110/sconres/3121,231
1775968303732,roll-call-vote/119/senate/2/102,68
1775968304952,amendment/119/hamdt/1762,244
1775968306188,bill/119/sconres/7431,231
1775968307438,bill/103/hres/2561,228
1775968308679,amendment/119/hamdt/2814,244
1775968309908,roll-call-vote/119/house/1/443,67
1775968311143,bill/118/hjres/4558,229
1775968312388,bill/110/sconres/1002,231
1775968519924,bill/117/hres/422,2161
1775968521243,roll-call-vote/112/house/1/159,67
1775968522514,amendment/119/hamdt/1435,244
1775968523762,amendment/119/samdt/2352,1455
1775968525065,bill/119/hr/4382,2899
1775968526182,bill/119/hconres/5568,231
1775968527431,bill/119/hjres/6567,229
1775968528690,bill/93/s/4346,224
1775968529932,bill/119/sconres/2579,231
1775968531174,bill/117/s/431,2524
1775968532565,bill/94/s/2230,2891
1775968533887,bill/119/sres/6786,228
1775968535120,bill/96/sconres/3522,230
1775968536361,bill/111/sres/4317,228
1775968537603,amendment/119/samdt/2455,1554
1775968539012,bill/119/sjres/2249,229
1775968540255,amendment/119/hamdt/32,242
1775968541495,bill/119/hjres/6230,229
1775968542782,bill/119/sconres/1181,231
1775968544037,bill/106/hr/3767,3673
1775968545438,roll-call-vote/119/senate/2/656,68
1775968546670,bill/119/hr/5322,2716
1775968547791,bill/107/sconres/722,230
1775968549044,bill/119/hres/6561,228
1775968550290,bill/119/hconres/5563,231
1775968551524,bill/95/s/4347,224
1775968552764,bill/104/sconres/1210,231
1775968554020,bill/119/sjres/2843,229
1775968555262,amendment/113/hamdt/726,2347
1775968556590,roll-call-vote/115/senate/2/643,68
1775968557820,bill/119/sres/7246,228
1775968559070,amendment/111/hamdt/1442,244
1775968560716,bill/119/sres/617,2396
1775968561839,bill/95/s/4867,224
1775968563078,bill/119/hr/7369,2594
1775968564201,roll-call-vote/119/house/2/620,67
1775968565436,bill/119/hr/7382,2956
1775968755095,bill/103/s/4134,225
1775968756868,amendment/119/samdt/1800,1664
1775968758408,bill/104/sconres/2318,231
1775968759657,bill/114/hr/2742,3081
1775968761041,bill/119/hres/4656,228
1775968762292,bill/112/hjres/2731,229
1775968771818,bill/104/hconres/3211,231
1775968773150,bill/95/hconres/4579,230
1775968774459,bill/119/hjres/8625,229
1775968775907,bill/109/sconres/150,230
1775968777244,bill/119/sjres/5599,229
1775968778473,roll-call-vote/119/house/1/159,67
1775968790113,bill/96/hr/2759,2827
1775968791613,roll-call-vote/113/house/1/186,67
1775969010134,amendment/118/hamdt/2954,244
1775969011505,bill/119/sjres/7278,229
1775969012830,amendment/118/samdt/959,1494
1775969014247,bill/119/sres/3179,228
1775969015497,bill/107/sres/2309,228
1775969016788,amendment/119/samdt/664,3147
1775969018133,amendment/97/samdt/214,242
1775969019371,amendment/110/hamdt/2914,244
1775969020601,amendment/102/hamdt/657,2002
1775969021889,bill/97/hres/752,226
1775969023122,roll-call-vote/119/senate/2/28,67
1775969024334,bill/119/sconres/3863,231
1775969025573,bill/119/sjres/462,228
1775969026809,bill/119/sconres/2393,231
1775969028034,bill/119/sres/2274,228
1775969029288,amendment/119/hamdt/325,243
1775969030567,bill/119/hjres/8992,229
1775969031936,roll-call-vote/114/house/2/244,67
1775969033417,bill/119/hres/7490,228
